empresa,pais,ciudad,email,whatsapp,telefono,instagram,nota
Dra. Paniego Dermatologia,Argentina,CABA (Recoleta),draflorenciapaniego@gmail.com,+5491131574922,+541131574922,@draflorpaniego,
Casa Piel Dermatologia,Argentina,CABA (Palermo),dramariangelesjofre@gmail.com,,+541170745612,@mariandermato,
Psoriahue,Argentina,CABA (Belgrano + Casa Central),info@psoriahue.com,+5491133050463,+541170781076,@psoriahueoficial,"WhatsApp separado: 1133050463 dermatologia / 1133051197 estetica"
Centro Zimman,Argentina,CABA (Recoleta),info@centrozimman.com.ar,+541141413535,+541148231777,@centrozimman,
Clinica LEMEL,Argentina,CABA (Puerto Madero),hola@clinicalemel.com,+5491131599458,+541148077800,@clinicalemel,"Tambien 0800-444-PIEL"
LAB Estetica Profesional,Argentina,CABA (Caballito),lab.esteticaprofesional@gmail.com,+5491179823333,+5491179823333,@labestetica,
FioDerm Estetica Medica,Argentina,CABA (Nunez),fioderm.staff@gmail.com,+541144171445,+541144171445,@fioderm_estetica_medica,
Salem Propiedades,Argentina,CABA,info@salempropiedades.com.ar,+5491127120574,+541127120574,@salempropiedades,
Beautyderm,Argentina,CABA (Caballito),"protegido por Cloudflare",+5491151095879,+541148527878,@beautyderm.ar,"Email ofuscado en el sitio; se resuelve abriendolo en navegador"
Silvana Dato - Centro Medico,Argentina,CABA (Belgrano),,+5491151581419,+541147747279,@silvanadatoexperience,"Sin email publicado"
Hoogstra Centros Medicos,Argentina,CABA (2 sedes),,+5491155035126,+541149040880,@hoogstra_,"Segundo WhatsApp +5491140793779. Sin email publicado"
Odontologia Northdent,Argentina,San Fernando (Victoria),,+5491163627695,+541163627695,@odontologia.northdent,"Sin email publicado"
Agustina Losardo Odontologia,Argentina,CABA (Saavedra),,+5491141983388,+541141983388,@odonto.aguslosardo,"Sin email publicado"
City Dent,Argentina,Vicente Lopez (Munro),,+541126696317,,,"Sin email ni Instagram en el sitio"
Centro Medico List,Argentina,CABA (Palermo + Belgrano),,+5491125670408,+541148290243,@centromedicolist,"Sin email publicado"
VITRU,Argentina,CABA (Recoleta),,+5491124079778,,@vitru.ok,"Sin telefono fijo: todo entra por WhatsApp o reserva online"
Flebella Medicina Estetica,Argentina,CABA (Caballito),,+5491168653898,+5491168653898,@flebella,"Sin email publicado"
Depilacion para Hombres - GONZALO,Argentina,CABA (Tribunales),,+5491132519008,+5491132519008,@depilacionparahombres,"Sin email publicado"
Salute Imoveis,Brasil,Balneario Camboriu,contato@saluteimoveis.com,+5547988113063,+554733111067,@saluteimoveis,"Segundo WhatsApp +5547988630198"
Hogarea,Espana,Barcelona (L'Hospitalet),barcelona@hogarea.house,,+34930233212,@hogareahouse,"Segunda sede Malaga: malaga@hogarea.house / +34951670106"
The Gaia Spa,Estados Unidos,"Weston, FL",info@thegaiaspa.com,,+19542043421,@thegaiaspa,
BEYOND Developments,Emiratos Arabes Unidos,Dubai,,+971565787777,+971800239663,@beyonddevelopments,"Sin email publicado, solo formulario"
Yale Realty & Capital Advisors,Estados Unidos,"Miami, FL",,,,@yaleadvisors,"Solo formulario de contacto en el sitio"
Best Dental Clinic Al Rigga,Emiratos Arabes Unidos,Dubai,,,+97143270888,@bestdentalclinicalrigga,"Sin email publicado"
Dra. Johanna Calderon,Colombia,Colombia (turismo dental),"protegido por Cloudflare",+573146024619,+573146024619,@periodoncista_johanna_calderon,"Email ofuscado en el sitio"
