id,prioridad,score,pais,ciudad_zona,rubro,empresa,canal_web,telefono,rating,resenas,ficha_reclamada,hook_comercial,grado_dato,fuente
1,P1,92,Argentina,"Vicente Lopez (Florida)","Odontologia",Odonto Maipu,"SIN SITIO WEB",+549113043-8415,3.7,413,si,"413 resenas y cero sitio web; rating bajo por atencion. Caso ideal de web + bot de turnos por WhatsApp",A,"Google Business Profile"
2,P1,91,Argentina,"Olivos","Odontologia",Ayres Dental,"Solo Instagram",+54112400-1485,5.0,305,si,"5.0 con 305 resenas y sin sitio propio. Toda la conversion depende del DM de Instagram",A,"Google Business Profile"
3,P1,90,Argentina,"CABA (Colegiales)","Clinica estetica / dermatologia",Tosiponti Skin Longevity,"Solo Instagram",+54114740-0102,4.9,884,si,"884 resenas, dermatologia de precision, ticket alto y sin web propia",A,"Google Business Profile"
4,P1,88,Argentina,"Olivos","Odontologia",Coin,"SIN SITIO WEB",+54114799-3215,2.3,347,no,"Ficha sin reclamar y rating 2.3 con 347 resenas. Urgencia reputacional + captacion",A,"Google Business Profile"
5,P1,86,Argentina,"San Isidro","Odontologia",San Isidro Labrador Dental Center,"Solo Facebook",+54112467-2026,2.7,247,no,"Ficha sin reclamar, solo pagina de Facebook, rating 2.7. Rehacer presencia completa",A,"Google Business Profile"
6,P1,85,Argentina,"Martinez","Odontologia premium",Esthetic Dentistry Dental Juri,esteticajuri.com.ar,+549112594-5555,4.8,1836,si,"1836 resenas, implantologia + estetica medica. Volumen de consultas que justifica automatizacion",A,"Google Business Profile"
7,P1,82,Argentina,"CABA (Belgrano)","Medicina estetica",Silvana Dato - Centro Medico,silvanadato.com,+54114774-7279,4.9,1088,si,"1088 resenas, ticket alto, sitio con poca profundidad comercial",A,"Google Business Profile"
8,P1,80,Argentina,"CABA (Caballito)","Cirugia plastica / estetica",Hoogstra Centros Medicos,doctorhoogstra.com,+54114901-6690,4.6,719,si,"Cirugia plastica y laser, ticket muy alto, multiples sedes",A,"Google Business Profile"
9,P1,80,Argentina,"CABA (Recoleta)","Clinica estetica",Centro Chouela,chouela.com,+54112256-6757,2.9,234,si,"Rating 2.9 con 234 resenas: falla de atencion y seguimiento. Angulo directo para bot + CRM",A,"Google Business Profile"
10,P1,78,Argentina,"San Isidro / Virreyes","Odontologia",Dental Total (red),dentaltotal.com.ar,+54800-777-1919,4.9,520,si,"Red con multiples sedes y linea 0800. Alto volumen de turnos para automatizar",A,"Google Business Profile"
11,P2,76,Argentina,"San Fernando (Victoria)","Odontologia",Odontologia Northdent,odontologianorthdent.com,+54116362-7695,4.9,428,si,"4.9 con 428 resenas en Zona Norte. Sitio basico sin captacion",A,"Google Business Profile"
12,P2,75,Argentina,"CABA (Nunez)","Odontologia",Agustina Losardo Odontologia,agustinalosardoodontologia.com,+54114198-3388,5.0,414,si,"5.0 con 414 resenas. Marca personal fuerte, sitio sin embudo",A,"Google Business Profile"
13,P2,74,Argentina,"CABA (Caballito)","Medicina estetica",Beautyderm - Medical Aesthetic Center,beautyderm.com.ar,+5448527878,4.8,506,si,"506 resenas y 391 fotos: mucha demanda, sin sistema de captacion",A,"Google Business Profile"
14,P2,72,Argentina,"Vicente Lopez","Odontologia",City Dent,citydent.ar,+54112669-6317,4.6,254,si,"Todas las especialidades incluidas implantes. Sitio minimo",A,"Google Business Profile"
15,P2,72,Argentina,"CABA (Palermo)","Clinica capilar / tricologia",Dr. Miguel Marti - Dermatologo,drmiguelmarti.com,+549116619-7156,4.6,162,si,"Tricologia y recuperacion capilar: rubro pedido, ticket alto, lider de opinion regional",A,"Google Business Profile"
